id,1,2,3,4,5,6,7,8,9,10
3860,3860,4116,4383,4407,4538,4543,4564,4565,4602,4609
3869,3869,4116,4383,4407,4538,4543,4564,4565,4602,4609
3891,3891,4116,4383,4407,4538,4543,4564,4565,4602,4609
3900,3900,223,4116,4407,4538,4543,4564,4565,4602,4609
3910,3910,59,3784,345,821,1010,3621,3786,764,3799
3934,3934,3772,3865,3903,3559,3841,3720,358,4012,2901
3982,3982,223,4116,4407,4538,4543,4564,4565,4602,4609
3992,3992,223,4116,4407,4538,4543,4564,4565,4602,4609
3993,3993,223,4116,4407,4538,4543,4564,4565,4602,4609
358,3841,358,3559,3916,3837,249,215,3896,917,3750
377,377,223,4116,4407,4538,4543,4564,4565,4602,4609
1042,1042,223,4116,4407,4538,4543,4564,4565,4602,4609
1712,1712,3747,45,3908,3835,2425,223,3786,3910,59
3463,3463,223,4116,4407,4538,4543,4564,4565,4602,4609
3647,3647,223,4116,4407,4538,4543,4564,4565,4602,4609
3747,1712,3747,45,3908,3835,2425,223,3786,3910,59
3761,3761,223,4407,4538,4543,4564,4565,4602,4609,4622
3775,3775,4146,4407,4538,4543,4564,4565,4602,4609,4622
3814,3814,223,4146,4407,4538,4543,4564,4565,4602,4609
3817,3817,223,4146,4407,4538,4543,4564,4565,4602,4609
3831,3831,223,4146,4407,4538,4543,4564,4565,4602,4609
3896,3896,917,215,3750,3916,249,3837,2034,3559,358
3902,3902,223,4146,4407,4538,4543,4564,4565,4602,4609
3908,45,3908,2425,1712,3747,3835,223,3786,3799,3910
3916,3916,3837,249,917,215,3559,3896,3841,358,3750
3928,3928,223,4146,4407,4538,4543,4564,4565,4602,4609
3983,3983,223,4146,4407,4538,4543,4564,4565,4602,4609
3986,4019,4015,5886,3976,3986,4013,58,157,29,138
28,28,223,4146,4407,4538,4543,4564,4565,4602,4609
250,250,223,4146,4407,4538,4543,4564,4565,4602,4609
408,408,223,4146,4407,4538,4543,4564,4565,4602,4609
487,487,4336,4407,4538,4543,4564,4565,4602,4609,4622
883,883,4146,4407,4538,4543,4564,4565,4602,4609,4622
1067,1067,4336,4407,4538,4543,4564,4565,4602,4609,4622
1295,1295,223,4146,4407,4538,4543,4564,4565,4602,4609
1343,1343,223,4146,4407,4538,4543,4564,4565,4602,4609
2296,2296,223,4146,4407,4538,4543,4564,4565,4602,4609
2330,2330,223,4146,4407,4538,4543,4564,4565,4602,4609
2407,2407,223,4146,4407,4538,4543,4564,4565,4602,4609
2530,2530,223,4146,4407,4538,4543,4564,4565,4602,4609
3753,3753,223,4146,4407,4538,4543,4564,4565,4602,4609
3767,3767,223,4146,4407,4538,4543,4564,4565,4602,4609
3781,3781,223,4146,4407,4538,4543,4564,4565,4602,4609
3786,3786,59,3910,3835,223,3621,3784,345,821,1010
3789,3789,223,4146,4407,4538,4543,4564,4565,4602,4609
3810,3810,223,4146,4407,4538,4543,4564,4565,4602,4609
3813,3813,223,4146,4407,4538,4543,4564,4565,4602,4609
3825,3825,4146,4407,4538,4543,4564,4565,4602,4609,4622
3834,3834,223,4407,4538,4543,4564,4565,4602,4609,4622
3848,3848,223,4116,4407,4538,4543,4564,4565,4602,4609
3861,3861,223,4116,4407,4538,4543,4564,4565,4602,4609
3917,3917,223,4116,4407,4538,4543,4564,4565,4602,4609
3924,3924,223,4116,4407,4538,4543,4564,4565,4602,4609
3942,3942,223,4116,4407,4538,4543,4564,4565,4602,4609
3944,3944,223,4116,4407,4538,4543,4564,4565,4602,4609
3951,3951,223,4116,4407,4538,4543,4564,4565,4602,4609
3953,3953,223,4116,4407,4538,4543,4564,4565,4602,4609
3960,3960,223,4116,4407,4538,4543,4564,4565,4602,4609
58,4019,4015,5886,3976,3986,4013,58,157,29,138
30,30,223,4116,4407,4538,4543,4564,4565,4602,4609
126,126,223,4116,4407,4538,4543,4564,4565,4602,4609
128,128,223,4116,4407,4538,4543,4564,4565,4602,4609
226,226,4336,4407,4538,4543,4564,4565,4602,4609,4622
